Luminance,Diameter
0.009701723,6.89
0.009701723,5.62
0.009701723,6.90
0.009701723,6.11
0.009701723,6.737959014
0.009701723,6.441223705
0.010671896,6.89
0.010671896,5.58
0.010671896,6.87
0.010671896,6.09
0.010671896,6.722268854
0.010671896,6.402713394
0.011739085,6.88
0.011739085,5.54
0.011739085,6.84
0.011739085,6.07
0.011739085,6.706338825
0.011739085,6.363602222
0.012912994,6.88
0.012912994,5.50
0.012912994,6.82
0.012912994,6.05
0.012912994,6.690168927
0.012912994,6.323897959
0.014204293,6.87
0.014204293,5.46
0.014204293,6.79
0.014204293,6.02
0.014204293,6.673759159
0.014204293,6.28360927
0.015624723,6.87
0.015624723,5.43
0.015624723,6.76
0.015624723,6.00
0.015624723,6.657109521
0.015624723,6.24274573
0.017187195,6.86
0.017187195,5.39
0.017187195,6.72
0.017187195,5.98
0.017187195,6.640220013
0.017187195,6.201317825
0.018905914,6.86
0.018905914,5.35
0.018905914,6.69
0.018905914,5.95
0.018905914,6.623090636
0.018905914,6.159336962
0.020796506,6.85
0.020796506,5.31
0.020796506,6.66
0.020796506,5.93
0.020796506,6.605721389
0.020796506,6.116815468
0.022876156,6.85
0.022876156,5.27
0.022876156,6.63
0.022876156,5.91
0.022876156,6.588112273
0.022876156,6.073766589
0.025163772,6.84
0.025163772,5.23
0.025163772,6.59
0.025163772,5.88
0.025163772,6.570263287
0.025163772,6.030204488
0.027680149,6.83
0.027680149,5.19
0.027680149,6.56
0.027680149,5.86
0.027680149,6.552174432
0.027680149,5.986144236
0.030448164,6.83
0.030448164,5.15
0.030448164,6.53
0.030448164,5.83
0.030448164,6.533845706
0.030448164,5.941601803
0.03349298,6.82
0.03349298,5.11
0.03349298,6.49
0.03349298,5.81
0.03349298,6.515277112
0.03349298,5.896594045
0.036842278,6.81
0.036842278,5.06
0.036842278,6.45
0.036842278,5.78
0.036842278,6.496468647
0.036842278,5.851138687
0.040526506,6.81
0.040526506,5.02
0.040526506,6.42
0.040526506,5.76
0.040526506,6.477420313
0.040526506,5.805254303
0.044579157,6.80
0.044579157,4.98
0.044579157,6.38
0.044579157,5.73
0.044579157,6.45813211
0.044579157,5.758960297
0.049037073,6.79
0.049037073,4.94
0.049037073,6.34
0.049037073,5.71
0.049037073,6.438604036
0.049037073,5.712276869
0.05394078,6.78
0.05394078,4.90
0.05394078,6.30
0.05394078,5.68
0.05394078,6.418836093
0.05394078,5.665224995
0.059334858,6.78
0.059334858,4.86
0.059334858,6.26
0.059334858,5.66
0.059334858,6.398828281
0.059334858,5.617826387
0.065268344,6.77
0.065268344,4.82
0.065268344,6.22
0.065268344,5.63
0.065268344,6.378580599
0.065268344,5.570103464
0.071795178,6.76
0.071795178,4.78
0.071795178,6.18
0.071795178,5.60
0.071795178,6.358093047
0.071795178,5.522079309
0.078974696,6.75
0.078974696,4.74
0.078974696,6.14
0.078974696,5.58
0.078974696,6.337365626
0.078974696,5.473777628
0.086872165,6.74
0.086872165,4.70
0.086872165,6.10
0.086872165,5.55
0.086872165,6.316398335
0.086872165,5.425222711
0.095559382,6.73
0.095559382,4.66
0.095559382,6.06
0.095559382,5.52
0.095559382,6.295191174
0.095559382,5.37643938
0.10511532,6.72
0.10511532,4.62
0.10511532,6.02
0.10511532,5.50
0.10511532,6.273744144
0.10511532,5.327452943
0.115626852,6.71
0.115626852,4.58
0.115626852,5.97
0.115626852,5.47
0.115626852,6.252057245
0.115626852,5.278289143
0.127189537,6.70
0.127189537,4.54
0.127189537,5.93
